Federal Constituency,URL,Parliament Code
Padang Besar,https://en.wikipedia.org/wiki/Padang_Besar_(federal_constituency),p001
Kangar,https://en.wikipedia.org/wiki/Kangar_(federal_constituency),p002
Arau,https://en.wikipedia.org/wiki/Arau_(federal_constituency),p003
Langkawi,https://en.wikipedia.org/wiki/Langkawi_(federal_constituency),p004
Jerlun,https://en.wikipedia.org/wiki/Jerlun_(federal_constituency),p005
Kubang Pasu,https://en.wikipedia.org/wiki/Kubang_Pasu_(federal_constituency),p006
Padang Terap,https://en.wikipedia.org/wiki/Padang_Terap_(federal_constituency),p007
Pokok Sena,https://en.wikipedia.org/wiki/Pokok_Sena_(federal_constituency),p008
Alor Setar,https://en.wikipedia.org/wiki/Alor_Setar_(federal_constituency),p009
Kuala Kedah,https://en.wikipedia.org/wiki/Kuala_Kedah_(federal_constituency),p010
Pendang,https://en.wikipedia.org/wiki/Pendang_(federal_constituency),p011
Jerai,https://en.wikipedia.org/wiki/Jerai_(federal_constituency),p012
Sik,https://en.wikipedia.org/wiki/Sik_(federal_constituency),p013
Merbok,https://en.wikipedia.org/wiki/Merbok_(federal_constituency),p014
Sungai Petani,https://en.wikipedia.org/wiki/Sungai_Petani_(federal_constituency),p015
Baling,https://en.wikipedia.org/wiki/Baling_(federal_constituency),p016
Padang Serai,https://en.wikipedia.org/wiki/Padang_Serai_(federal_constituency),p017
Kulim-Bandar Baharu,https://en.wikipedia.org/wiki/Kulim-Bandar_Baharu_(federal_constituency),p018
Tumpat,https://en.wikipedia.org/wiki/Tumpat_(federal_constituency),p019
Pengkalan Chepa,https://en.wikipedia.org/wiki/Pengkalan_Chepa_(federal_constituency),p020
Kota Bharu,https://en.wikipedia.org/wiki/Kota_Bharu_(federal_constituency),p021
Pasir Mas,https://en.wikipedia.org/wiki/Pasir_Mas_(federal_constituency),p022
Rantau Panjang,https://en.wikipedia.org/wiki/Rantau_Panjang_(federal_constituency),p023
Kubang Kerian,https://en.wikipedia.org/wiki/Kubang_Kerian_(federal_constituency),p024
Bachok,https://en.wikipedia.org/wiki/Bachok_(federal_constituency),p025
Ketereh,https://en.wikipedia.org/wiki/Ketereh_(federal_constituency),p026
Tanah Merah,https://en.wikipedia.org/wiki/Tanah_Merah_(federal_constituency),p027
Pasir Puteh,https://en.wikipedia.org/wiki/Pasir_Puteh_(federal_constituency),p028
Machang,https://en.wikipedia.org/wiki/Machang_(federal_constituency),p029
Jeli,https://en.wikipedia.org/wiki/Jeli_(federal_constituency),p030
Kuala Krai,https://en.wikipedia.org/wiki/Kuala_Krai_(federal_constituency),p031
Gua Musang,https://en.wikipedia.org/wiki/Gua_Musang_(federal_constituency),p032
Besut,https://en.wikipedia.org/wiki/Besut_(federal_constituency),p033
Setiu,https://en.wikipedia.org/wiki/Setiu_(federal_constituency),p034
Kuala Nerus,https://en.wikipedia.org/wiki/Kuala_Nerus_(federal_constituency),p035
Kuala Terengganu,https://en.wikipedia.org/wiki/Kuala_Terengganu_(federal_constituency),p036
Marang,https://en.wikipedia.org/wiki/Marang_(federal_constituency),p037
Hulu Terengganu,https://en.wikipedia.org/wiki/Hulu_Terengganu_(federal_constituency),p038
Dungun,https://en.wikipedia.org/wiki/Dungun_(federal_constituency),p039
Kemaman,https://en.wikipedia.org/wiki/Kemaman_(federal_constituency),p040
Kepala Batas,https://en.wikipedia.org/wiki/Kepala_Batas_(federal_constituency),p041
Tasek Gelugor,https://en.wikipedia.org/wiki/Tasek_Gelugor_(federal_constituency),p042
Bagan,https://en.wikipedia.org/wiki/Bagan_(federal_constituency),p043
Permatang Pauh,https://en.wikipedia.org/wiki/Permatang_Pauh_(federal_constituency),p044
Bukit Mertajam,https://en.wikipedia.org/wiki/Bukit_Mertajam_(federal_constituency),p045
Batu Kawan,https://en.wikipedia.org/wiki/Batu_Kawan_(federal_constituency),p046
Nibong Tebal,https://en.wikipedia.org/wiki/Nibong_Tebal_(federal_constituency),p047
Bukit Bendera,https://en.wikipedia.org/wiki/Bukit_Bendera_(federal_constituency),p048
Tanjong,https://en.wikipedia.org/wiki/Tanjong_(federal_constituency),p049
Jelutong,https://en.wikipedia.org/wiki/Jelutong_(federal_constituency),p050
Bukit Gelugor,https://en.wikipedia.org/wiki/Bukit_Gelugor_(federal_constituency),p051
Bayan Baru,https://en.wikipedia.org/wiki/Bayan_Baru_(federal_constituency),p052
Balik Pulau,https://en.wikipedia.org/wiki/Balik_Pulau_(federal_constituency),p053
Gerik,https://en.wikipedia.org/wiki/Gerik_(federal_constituency),p054
Lenggong,https://en.wikipedia.org/wiki/Lenggong_(federal_constituency),p055
Larut,https://en.wikipedia.org/wiki/Larut_(federal_constituency),p056
Parit Buntar,https://en.wikipedia.org/wiki/Parit_Buntar_(federal_constituency),p057
Bagan Serai,https://en.wikipedia.org/wiki/Bagan_Serai_(federal_constituency),p058
Bukit Gantang,https://en.wikipedia.org/wiki/Bukit_Gantang_(federal_constituency),p059
Taiping,https://en.wikipedia.org/wiki/Taiping_(federal_constituency),p060
Padang Rengas,https://en.wikipedia.org/wiki/Padang_Rengas_(federal_constituency),p061
Sungai Siput,https://en.wikipedia.org/wiki/Sungai_Siput_(federal_constituency),p062
Tambun,https://en.wikipedia.org/wiki/Tambun_(federal_constituency),p063
Ipoh Timor,https://en.wikipedia.org/wiki/Ipoh_Timor_(federal_constituency),p064
Ipoh Barat,https://en.wikipedia.org/wiki/Ipoh_Barat_(federal_constituency),p065
Batu Gajah,https://en.wikipedia.org/wiki/Batu_Gajah_(federal_constituency),p066
Kuala Kangsar,https://en.wikipedia.org/wiki/Kuala_Kangsar_(federal_constituency),p067
Beruas,https://en.wikipedia.org/wiki/Beruas_(federal_constituency),p068
Parit,https://en.wikipedia.org/wiki/Parit_(federal_constituency),p069
Kampar,https://en.wikipedia.org/wiki/Kampar_(federal_constituency),p070
Gopeng,https://en.wikipedia.org/wiki/Gopeng_(federal_constituency),p071
Tapah,https://en.wikipedia.org/wiki/Tapah_(federal_constituency),p072
Pasir Salak,https://en.wikipedia.org/wiki/Pasir_Salak_(federal_constituency),p073
Lumut,https://en.wikipedia.org/wiki/Lumut_(federal_constituency),p074
Bagan Datuk,https://en.wikipedia.org/wiki/Bagan_Datuk_(federal_constituency),p075
Teluk Intan,https://en.wikipedia.org/wiki/Teluk_Intan_(federal_constituency),p076
Tanjong Malim,https://en.wikipedia.org/wiki/Tanjong_Malim_(federal_constituency),p077
Cameron Highlands,https://en.wikipedia.org/wiki/Cameron_Highlands_(federal_constituency),p078
Lipis,https://en.wikipedia.org/wiki/Lipis_(federal_constituency),p079
Raub,https://en.wikipedia.org/wiki/Raub_(federal_constituency),p080
Jerantut,https://en.wikipedia.org/wiki/Jerantut_(federal_constituency),p081
Indera Mahkota,https://en.wikipedia.org/wiki/Indera_Mahkota_(federal_constituency),p082
Kuantan,https://en.wikipedia.org/wiki/Kuantan_(federal_constituency),p083
Paya Besar,https://en.wikipedia.org/wiki/Paya_Besar_(federal_constituency),p084
Pekan,https://en.wikipedia.org/wiki/Pekan_(federal_constituency),p085
Maran,https://en.wikipedia.org/wiki/Maran_(federal_constituency),p086
Kuala Krau,https://en.wikipedia.org/wiki/Kuala_Krau_(federal_constituency),p087
Temerloh,https://en.wikipedia.org/wiki/Temerloh_(federal_constituency),p088
Bentong,https://en.wikipedia.org/wiki/Bentong_(federal_constituency),p089
Bera,https://en.wikipedia.org/wiki/Bera_(federal_constituency),p090
Rompin,https://en.wikipedia.org/wiki/Rompin_(federal_constituency),p091
Sabak Bernam,https://en.wikipedia.org/wiki/Sabak_Bernam_(federal_constituency),p092
Sungai Besar,https://en.wikipedia.org/wiki/Sungai_Besar_(federal_constituency),p093
Hulu Selangor,https://en.wikipedia.org/wiki/Hulu_Selangor_(federal_constituency),p094
Tanjong Karang,https://en.wikipedia.org/wiki/Tanjong_Karang_(federal_constituency),p095
Kuala Selangor,https://en.wikipedia.org/wiki/Kuala_Selangor_(federal_constituency),p096
Selayang,https://en.wikipedia.org/wiki/Selayang_(federal_constituency),p097
Gombak,https://en.wikipedia.org/wiki/Gombak_(federal_constituency),p098
Ampang,https://en.wikipedia.org/wiki/Ampang_(federal_constituency),p099
Pandan,https://en.wikipedia.org/wiki/Pandan_(federal_constituency),p100
Hulu Langat,https://en.wikipedia.org/wiki/Hulu_Langat_(federal_constituency),p101
Bangi,https://en.wikipedia.org/wiki/Bangi_(federal_constituency),p102
Puchong,https://en.wikipedia.org/wiki/Puchong_(federal_constituency),p103
Subang,https://en.wikipedia.org/wiki/Subang_(federal_constituency),p104
Petaling Jaya,https://en.wikipedia.org/wiki/Petaling_Jaya_(federal_constituency),p105
Damansara,https://en.wikipedia.org/wiki/Damansara_(Selangor_federal_constituency),p106
Sungai Buloh,https://en.wikipedia.org/wiki/Sungai_Buloh_(federal_constituency),p107
Shah Alam,https://en.wikipedia.org/wiki/Shah_Alam_(federal_constituency),p108
Kapar,https://en.wikipedia.org/wiki/Kapar_(federal_constituency),p109
Klang,https://en.wikipedia.org/wiki/Klang_(federal_constituency),p110
Kota Raja,https://en.wikipedia.org/wiki/Kota_Raja_(federal_constituency),p111
Kuala Langat,https://en.wikipedia.org/wiki/Kuala_Langat_(federal_constituency),p112
Sepang,https://en.wikipedia.org/wiki/Sepang_(federal_constituency),p113
Kepong,https://en.wikipedia.org/wiki/Kepong_(federal_constituency),p114
Batu,https://en.wikipedia.org/wiki/Batu_(Kuala_Lumpur_federal_constituency),p115
Wangsa Maju,https://en.wikipedia.org/wiki/Wangsa_Maju_(federal_constituency),p116
Segambut,https://en.wikipedia.org/wiki/Segambut_(federal_constituency),p117
Setiawangsa,https://en.wikipedia.org/wiki/Setiawangsa_(federal_constituency),p118
Titiwangsa,https://en.wikipedia.org/wiki/Titiwangsa_(federal_constituency),p119
Bukit Bintang,https://en.wikipedia.org/wiki/Bukit_Bintang_(Kuala_Lumpur_federal_constituency),p120
Lembah Pantai,https://en.wikipedia.org/wiki/Lembah_Pantai_(federal_constituency),p121
Seputeh,https://en.wikipedia.org/wiki/Seputeh_(federal_constituency),p122
Cheras,https://en.wikipedia.org/wiki/Cheras_(federal_constituency),p123
Bandar Tun Razak,https://en.wikipedia.org/wiki/Bandar_Tun_Razak_(federal_constituency),p124
Putrajaya,https://en.wikipedia.org/wiki/Putrajaya_(federal_constituency),p125
Jelebu,https://en.wikipedia.org/wiki/Jelebu_(federal_constituency),p126
Jempol,https://en.wikipedia.org/wiki/Jempol_(federal_constituency),p127
Seremban,https://en.wikipedia.org/wiki/Seremban_(federal_constituency),p128
Kuala Pilah,https://en.wikipedia.org/wiki/Kuala_Pilah_(federal_constituency),p129
Rasah,https://en.wikipedia.org/wiki/Rasah_(federal_constituency),p130
Rembau,https://en.wikipedia.org/wiki/Rembau_(federal_constituency),p131
Port Dickson,https://en.wikipedia.org/wiki/Port_Dickson_(federal_constituency),p132
Tampin,https://en.wikipedia.org/wiki/Tampin_(federal_constituency),p133
Masjid Tanah,https://en.wikipedia.org/wiki/Masjid_Tanah_(federal_constituency),p134
Alor Gajah,https://en.wikipedia.org/wiki/Alor_Gajah_(federal_constituency),p135
Tangga Batu,https://en.wikipedia.org/wiki/Tangga_Batu_(federal_constituency),p136
Hang Tuah Jaya,https://en.wikipedia.org/wiki/Hang_Tuah_Jaya_(federal_constituency),p137
Kota Melaka,https://en.wikipedia.org/wiki/Kota_Melaka_(federal_constituency),p138
Jasin,https://en.wikipedia.org/wiki/Jasin_(federal_constituency),p139
Segamat,https://en.wikipedia.org/wiki/Segamat_(federal_constituency),p140
Sekijang,https://en.wikipedia.org/wiki/Sekijang_(federal_constituency),p141
Labis,https://en.wikipedia.org/wiki/Labis_(federal_constituency),p142
Pagoh,https://en.wikipedia.org/wiki/Pagoh_(federal_constituency),p143
Ledang,https://en.wikipedia.org/wiki/Ledang_(federal_constituency),p144
Bakri,https://en.wikipedia.org/wiki/Bakri_(federal_constituency),p145
Muar,https://en.wikipedia.org/wiki/Muar_(federal_constituency),p146
Parit Sulong,https://en.wikipedia.org/wiki/Parit_Sulong_(federal_constituency),p147
Ayer Hitam,https://en.wikipedia.org/wiki/Ayer_Hitam_(federal_constituency),p148
Sri Gading,https://en.wikipedia.org/wiki/Sri_Gading_(federal_constituency),p149
Batu Pahat,https://en.wikipedia.org/wiki/Batu_Pahat_(federal_constituency),p150
Simpang Renggam,https://en.wikipedia.org/wiki/Simpang_Renggam_(federal_constituency),p151
Kluang,https://en.wikipedia.org/wiki/Kluang_(federal_constituency),p152
Sembrong,https://en.wikipedia.org/wiki/Sembrong_(federal_constituency),p153
Mersing,https://en.wikipedia.org/wiki/Mersing_(federal_constituency),p154
Tenggara,https://en.wikipedia.org/wiki/Tenggara_(federal_constituency),p155
Kota Tinggi,https://en.wikipedia.org/wiki/Kota_Tinggi_(federal_constituency),p156
Pengerang,https://en.wikipedia.org/wiki/Pengerang_(federal_constituency),p157
Tebrau,https://en.wikipedia.org/wiki/Tebrau_(federal_constituency),p158
Pasir Gudang,https://en.wikipedia.org/wiki/Pasir_Gudang_(federal_constituency),p159
Johor Bahru,https://en.wikipedia.org/wiki/Johor_Bahru_(federal_constituency),p160
Pulai,https://en.wikipedia.org/wiki/Pulai_(federal_constituency),p161
Iskandar Puteri,https://en.wikipedia.org/wiki/Iskandar_Puteri_(federal_constituency),p162
Kulai,https://en.wikipedia.org/wiki/Kulai_(federal_constituency),p163
Pontian,https://en.wikipedia.org/wiki/Pontian_(federal_constituency),p164
Tanjung Piai,https://en.wikipedia.org/wiki/Tanjung_Piai_(federal_constituency),p165
Labuan,https://en.wikipedia.org/wiki/Labuan_(federal_constituency),p166
Kudat,https://en.wikipedia.org/wiki/Kudat_(federal_constituency),p167
Kota Marudu,https://en.wikipedia.org/wiki/Kota_Marudu_(federal_constituency),p168
Kota Belud,https://en.wikipedia.org/wiki/Kota_Belud_(federal_constituency),p169
Tuaran,https://en.wikipedia.org/wiki/Tuaran_(federal_constituency),p170
Sepanggar,https://en.wikipedia.org/wiki/Sepanggar_(federal_constituency),p171
Kota Kinabalu,https://en.wikipedia.org/wiki/Kota_Kinabalu_(federal_constituency),p172
Putatan,https://en.wikipedia.org/wiki/Putatan_(federal_constituency),p173
Penampang,https://en.wikipedia.org/wiki/Penampang_(federal_constituency),p174
Papar,https://en.wikipedia.org/wiki/Papar_(federal_constituency),p175
Kimanis,https://en.wikipedia.org/wiki/Kimanis_(federal_constituency),p176
Beaufort,https://en.wikipedia.org/wiki/Beaufort_(federal_constituency),p177
Sipitang,https://en.wikipedia.org/wiki/Sipitang_(federal_constituency),p178
Ranau,https://en.wikipedia.org/wiki/Ranau_(federal_constituency),p179
Keningau,https://en.wikipedia.org/wiki/Keningau_(federal_constituency),p180
Tenom,https://en.wikipedia.org/wiki/Tenom_(federal_constituency),p181
Pensiangan,https://en.wikipedia.org/wiki/Pensiangan_(federal_constituency),p182
Beluran,https://en.wikipedia.org/wiki/Beluran_(federal_constituency),p183
Libaran,https://en.wikipedia.org/wiki/Libaran_(federal_constituency),p184
Batu Sapi,https://en.wikipedia.org/wiki/Batu_Sapi_(federal_constituency),p185
Sandakan,https://en.wikipedia.org/wiki/Sandakan_(federal_constituency),p186
Kinabatangan,https://en.wikipedia.org/wiki/Kinabatangan_(federal_constituency),p187
Lahad Datu,https://en.wikipedia.org/wiki/Lahad_Datu_(federal_constituency),p188
Semporna,https://en.wikipedia.org/wiki/Semporna_(federal_constituency),p189
Tawau,https://en.wikipedia.org/wiki/Tawau_(federal_constituency),p190
Kalabakan,https://en.wikipedia.org/wiki/Kalabakan_(federal_constituency),p191
Mas Gading,https://en.wikipedia.org/wiki/Mas_Gading_(federal_constituency),p192
Santubong,https://en.wikipedia.org/wiki/Santubong_(federal_constituency),p193
Petra Jaya,https://en.wikipedia.org/wiki/Petra_Jaya_(federal_constituency),p194
Bandar Kuching,https://en.wikipedia.org/wiki/Bandar_Kuching_(federal_constituency),p195
Stampin,https://en.wikipedia.org/wiki/Stampin_(federal_constituency),p196
Kota Samarahan,https://en.wikipedia.org/wiki/Kota_Samarahan_(federal_constituency),p197
Puncak Borneo,https://en.wikipedia.org/wiki/Puncak_Borneo_(federal_constituency),p198
Serian,https://en.wikipedia.org/wiki/Serian_(federal_constituency),p199
Batang Sadong,https://en.wikipedia.org/wiki/Batang_Sadong_(federal_constituency),p200
Batang Lupar,https://en.wikipedia.org/wiki/Batang_Lupar_(federal_constituency),p201
Sri Aman,https://en.wikipedia.org/wiki/Sri_Aman_(federal_constituency),p202
Lubok Antu,https://en.wikipedia.org/wiki/Lubok_Antu_(federal_constituency),p203
Betong,https://en.wikipedia.org/wiki/Betong_(federal_constituency),p204
Saratok,https://en.wikipedia.org/wiki/Saratok_(federal_constituency),p205
Tanjong Manis,https://en.wikipedia.org/wiki/Tanjong_Manis_(federal_constituency),p206
Igan,https://en.wikipedia.org/wiki/Igan_(federal_constituency),p207
Sarikei,https://en.wikipedia.org/wiki/Sarikei_(federal_constituency),p208
Julau,https://en.wikipedia.org/wiki/Julau_(federal_constituency),p209
Kanowit,https://en.wikipedia.org/wiki/Kanowit_(federal_constituency),p210
Lanang,https://en.wikipedia.org/wiki/Lanang_(federal_constituency),p211
Sibu,https://en.wikipedia.org/wiki/Sibu_(federal_constituency),p212
Mukah,https://en.wikipedia.org/wiki/Mukah_(federal_constituency),p213
Selangau,https://en.wikipedia.org/wiki/Selangau_(federal_constituency),p214
Kapit,https://en.wikipedia.org/wiki/Kapit_(federal_constituency),p215
Hulu Rajang,https://en.wikipedia.org/wiki/Hulu_Rajang_(federal_constituency),p216
Bintulu,https://en.wikipedia.org/wiki/Bintulu_(federal_constituency),p217
Sibuti,https://en.wikipedia.org/wiki/Sibuti_(federal_constituency),p218
Miri,https://en.wikipedia.org/wiki/Miri_(federal_constituency),p219
Baram,https://en.wikipedia.org/wiki/Baram_(federal_constituency),p220
Limbang,https://en.wikipedia.org/wiki/Limbang_(federal_constituency),p221
Lawas,https://en.wikipedia.org/wiki/Lawas_(federal_constituency),p222
